Depth (fsw),Z,Y,X,W,V,U,T,S,R,Q,P,O,N,M,L,K,J,I,H,G,F,E,D,C,B,A
35,205,188,168,152,139,127,117,108,100,92,85,79,73,67,62,57,52,48,44,40,36,32,29,25,19,10
40,140,129,120,111,104,97,91,85,79,74,69,64,60,55,51,48,44,40,37,34,31,27,25,22,16,9
50,,,80,75,71,67,63,60,57,53,50,47,44,41,38,36,33,31,28,26,24,21,19,17,13,7
60,,,,55,54,52,49,47,44,42,39,37,35,33,31,29,27,25,23,21,19,17,16,14,11,6
70,,,,,,,40,38,36,34,33,31,29,27,26,24,22,21,19,18,16,15,13,12,9,5
80,,,,,,,,,30,29,28,26,25,23,22,21,19,18,17,15,14,13,11,10,8,4
90,,,,,,,,,,25,24,23,22,21,19,18,17,16,15,13,12,11,10,9,7,4
100,,,,,,,,,,,,20,19,18,17,16,15,14,13,12,11,10,9,8,6,3
110,,,,,,,,,,,,,,16,15,14,14,13,12,11,10,9,8,7,6,3
120,,,,,,,,,,,,,,,,13,12,12,11,10,9,8,7,6,5,3
130,,,,,,,,,,,,,,,,,,,10,9,9,8,7,6,5,3
